2/5/2019,03:59,125.837
2/5/2019,04:00,125.835
2/5/2019,04:01,125.836
2/5/2019,04:02,125.840
2/5/2019,04:03,125.825
2/5/2019,04:04,125.811
2/5/2019,04:05,125.814
2/5/2019,04:06,125.809
2/5/2019,04:07,125.799
2/5/2019,04:08,125.811
2/5/2019,04:09,125.809
2/5/2019,04:10,125.808
2/5/2019,04:11,125.808
2/5/2019,04:12,125.794
